Tahun,JK,prodi,Usia,IP1,AK1,IP2,AK2,IP3,AK3,IP4,AK4,IP5,AK5,IP6,AK6,Tepat
2017,L,PAI,21,3.43,215,3.5,207,3.52,110,3.08,162,3.64,155,3.58,255,1
2017,L,PAI,23,3.45,170,3.65,210,3.63,90,3.54,171,3.75,210,3.77,233,1
2017,L,PAI,23,3.45,165,3.53,220,3.42,70,2.19,170,3.55,121,3.17,230,1
2017,L,PAI,23,3.18,135,3.4,210,3.38,90,2.27,163,3.32,155,3.33,180,1
2017,L,PAI,24,3.3,151,3.43,206,3.5,90,2.83,164,3.52,196,3.58,,1
2017,L,PAI,23,3.13,195,3.3,240,3.58,90,3.04,296,3.45,195,3.35,262,1
2017,L,PAI,22,3.03,146,3.25,222,3.33,83,2.79,194,3.41,115,3.42,264,1
2017,L,PAI,23,2.8,110,3.33,198,3.23,170,3.15,190,3.36,130,3.65,145,1
2017,L,PAI,24,2.98,235,3.48,265,3.44,140,2.98,270,3.45,188,3.56,259,1
2017,L,PAI,22,3.08,80,3.36,240,3.29,30,2.44,244,3.02,203,3.25,165,1
2017,L,PAI,24,3.33,142,3.25,220,3.5,130,3.13,219,3.5,122,3.56,260,1
2017,L,PAI,22,3.23,155,3.14,196,3.35,130,2.91,160,3.2,100,3.33,195,1
2017,L,PAI,22,3.4,158,3.38,206,3.4,163,2.63,216,3.5,184,3.58,125,1
2017,L,PAI,23,3.28,195,3.58,210,3.46,118,3.2,243,3.55,190,3.52,230,1
2017,L,PAI,22,3.28,185,3.5,235,3.5,82,2.92,199,3.5,207,3.54,250,1
2017,L,PAI,24,3.14,185,3.5,210,3.37,105,2.94,363,3.57,145,3.52,345,1
2017,L,PAI,23,3.18,218,3.3,110,3.35,184,2.96,178,3.41,225,3.52,145,1
2017,L,PAI,21,3.28,216,3.43,210,3.46,105,2.92,125,3.52,145,3.73,130,1
2017,L,PAI,23,3.34,288,3.41,232,3.58,257,3.17,198,3.48,216,3.58,120,1
2017,L,PAI,23,3.15,151,3.3,165,3.35,85,2.23,158,3.36,69,3.4,200,1
2017,L,PAI,22,3.48,157,3.63,220,3.5,90,2.25,227,3.55,133,3.23,240,1
2017,L,PAI,23,3.35,170,3.58,217,3.27,110,2.94,188,3.7,205,3.58,239,1
2017,L,PAI,21,3.3,204,3.47,222,3.48,234,3,198,3.43,192,3.17,123,1
2017,L,PAI,24,3.08,199,3.4,225,3.46,100,2.81,188,3.36,101,3.25,191,1
2017,L,PAI,22,3.18,203,3.31,172,3.06,100,2.58,203,3,125,3.13,212,1
2017,L,PAI,22,3.18,164,3.43,258,3.58,103,3.4,218,3.68,155,3.67,269,1
2017,L,PAI,25,3.35,160,3.63,230,3.73,254,3.71,251,3.7,180,3.83,273,1
2017,L,PAI,22,3.13,144,3.28,220,3.33,90,2.98,223,3.27,116,3.06,212,1
2017,L,PAI,23,3.2,220,3.45,240,3.33,191,3.54,178,3.59,192,3.67,140,1
