tgl,Kasus harian,"Sembuh
(baru)","Meninggal
(baru)",tgl,bln,thn,
2-03,2,0,0,02,03,2020,2020-03-02
3-03,0,0,0,03,03,2020,2020-03-03
4-03,0,0,0,04,03,2020,2020-03-04
5-03,0,0,0,05,03,2020,2020-03-05
6-03,2,0,0,06,03,2020,2020-03-06
7-03,0,0,0,07,03,2020,2020-03-07
8-03,2,0,0,08,03,2020,2020-03-08
9-03,13,0,0,09,03,2020,2020-03-09
10-03,8,0,0,10,03,2020,2020-03-10
12-03,0,1,2,12,03,2020,2020-03-12
13-03,35,2,0,13,03,2020,2020-03-13
14-03,27,3,1,14,03,2020,2020-03-14
15-03,21,0,0,15,03,2020,2020-03-15
16-03,17,0,0,16,03,2020,2020-03-16
17-03,38,1,2,17,03,2020,2020-03-17
18-03,55,2,12,18,03,2020,2020-03-18
19-03,82,4,6,19,03,2020,2020-03-19
20-03,60,1,7,20,03,2020,2020-03-20
21-03,81,4,6,21,03,2020,2020-03-21
22-03,64,9,10,22,03,2020,2020-03-22
23-03,65,1,1,23,03,2020,2020-03-23
24-03,106,0,6,24,03,2020,2020-03-24
25-03,105,1,3,25,03,2020,2020-03-25
26-03,103,4,20,26,03,2020,2020-03-26
27-03,153,11,9,27,03,2020,2020-03-27
28-03,109,13,15,28,03,2020,2020-03-28
29-03,130,5,12,29,03,2020,2020-03-29
30-03,129,11,8,30,03,2020,2020-03-30
31-03,114,6,14,31,03,2020,2020-03-31
1-04,149,22,21,01,04,2020,2020-04-01
2-04,113,9,13,02,04,2020,2020-04-02
3-04,196,22,11,03,04,2020,2020-04-03
4-04,106,16,10,04,04,2020,2020-04-04
5-04,181,14,7,05,04,2020,2020-04-05
6-04,218,28,11,06,04,2020,2020-04-06
7-04,247,12,12,07,04,2020,2020-04-07
8-04,218,18,19,08,04,2020,2020-04-08
9-04,337,30,40,09,04,2020,2020-04-09
10-04,219,30,26,10,04,2020,2020-04-10
11-04,330,4,21,11,04,2020,2020-04-11
12-04,399,73,46,12,04,2020,2020-04-12
13-04,316,21,26,13,04,2020,2020-04-13
14-04,282,46,60,14,04,2020,2020-04-14
15-04,297,20,10,15,04,2020,2020-04-15
16-04,380,102,27,16,04,2020,2020-04-16
17-04,407,59,24,17,04,2020,2020-04-17
18-04,325,24,15,18,04,2020,2020-04-18
19-04,327,55,47,19,04,2020,2020-04-19
20-04,185,61,8,20,04,2020,2020-04-20
21-04,375,95,26,21,04,2020,2020-04-21
22-04,283,71,20,22,04,2020,2020-04-22
23-04,357,47,11,23,04,2020,2020-04-23
24-04,436,42,42,24,04,2020,2020-04-24
25-04,396,40,31,25,04,2020,2020-04-25
26-04,275,65,23,26,04,2020,2020-04-26
27-04,214,44,22,27,04,2020,2020-04-27
28-04,415,103,8,28,04,2020,2020-04-28
29-04,260,137,11,29,04,2020,2020-04-29
30-04,347,131,8,30,04,2020,2020-04-30
1-05,433,69,8,01,05,2020,2020-05-01
