tgl,Kasus harian,"Sembuh
(baru)","Meninggal
(baru)"
1,2,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,2,0,0
6,0,0,0
7,2,0,0
8,13,0,0
9,8,0,0
10,0,1,2
11,35,2,0
12,27,3,1
13,21,0,0
14,17,0,0
15,38,1,2
16,55,2,12
17,82,4,6
18,60,1,7
19,81,4,6
20,64,9,10
21,65,1,1
22,106,0,6
23,105,1,3
24,103,4,20
25,153,11,9
26,109,13,15
27,130,5,12
28,129,11,8
29,114,6,14
30,149,22,21
31,113,9,13
32,196,22,11
33,106,16,10
34,181,14,7
35,218,28,11
36,247,12,12
37,218,18,19
38,337,30,40
39,219,30,26
40,330,4,21
41,399,73,46
42,316,21,26
43,282,46,60
44,297,20,10
45,380,102,27
46,407,59,24
47,325,24,15
48,327,55,47
49,185,61,8
50,375,95,26
51,283,71,20
52,357,47,11
53,436,42,42
54,396,40,31
55,275,65,23
56,214,44,22
57,415,103,8
58,260,137,11
59,347,131,8
60,433,69,8
61,292,74,31
62,349,211,14
63,395,78,19
64,484,243,8
65,367,120,23
66,338,64,35
67,336,113,13
68,533,113,16
69,387,91,14
70,233,183,18
71,484,182,16
72,689,224,21
73,568,231,15
74,490,285,33
75,529,108,13
76,489,218,59
77,496,195,43
78,486,143,30
79,693,108,21
80,973,263,36
81,634,219,48
82,949,192,25
83,526,153,21
84,479,240,19
85,415,235,27
86,686,180,55
87,687,183,23
88,678,252,24
89,557,523,53
90,700,293,40
91,467,329,28
92,609,298,22
93,684,471,35
94,585,486,23
95,703,551,49
96,993,464,31
97,672,591,50
98,847,406,32
99,1043,510,40
100,1240,715,36
101,979,507,41
102,1111,577,48
103,1014,563,43
104,857,755,43
105,1017,592,64
106,1106,580,33
107,1031,540,45
108,1331,555,63
109,1041,551,34
110,1226,534,56
111,862,521,36
112,954,331,35
113,1051,506,35
114,1113,417,38
115,1178,791,47
116,1240,884,63
117,1385,576,37
118,1198,1027,34
119,1082,864,51
120,1293,1006,71
121,1385,789,58
122,1624,1072,53
123,1301,901,49
124,1447,651,53
125,1607,886,82
126,1209,814,70
127,1268,866,68
128,1853,800,50
129,2657,1066,58
130,1611,878,52
131,1671,1190,66
132,1681,919,71
133,1282,1051,50
134,1591,947,54
135,1522,1414,87
136,1574,1295,76
137,1462,1489,84
