id,tgl,tanggal,positif,sembuh,meninggal,wfh_positif,wfh_sembuh,wfh_meninggal
1,1,2020-03-02,2,0,0,1,0,0
2,2,2020-03-03,0,0,0,0,0,0
3,3,2020-03-04,0,0,0,0,0,0
4,4,2020-03-05,0,0,0,0,0,0
5,5,2020-03-06,2,0,0,1,0,0
6,6,2020-03-07,0,0,0,0,0,0
7,7,2020-03-08,2,0,0,1,0,0
8,8,2020-03-09,13,0,0,7,0,0
9,9,2020-03-10,8,0,0,4,0,0
10,10,2020-03-12,0,1,2,0,0,1
11,11,2020-03-13,35,2,0,21,1,0
12,12,2020-03-14,27,3,1,12,1,0
13,13,2020-03-15,21,0,0,10,0,0
14,14,2020-03-16,17,0,0,7,0,0
15,15,2020-03-17,38,1,2,15,1,1
16,16,2020-03-18,55,2,12,28,1,7
17,17,2020-03-19,82,4,6,39,2,3
18,18,2020-03-20,60,1,7,29,1,3
19,19,2020-03-21,81,4,6,36,2,3
20,20,2020-03-22,64,9,10,30,4,5
21,21,2020-03-23,65,1,1,30,1,0
22,22,2020-03-24,106,0,6,59,0,3
23,23,2020-03-25,105,1,3,61,1,1
24,24,2020-03-26,103,4,20,58,2,9
25,25,2020-03-27,153,11,9,81,5,5
26,26,2020-03-28,109,13,15,44,7,6
27,27,2020-03-29,130,5,12,56,2,5
28,28,2020-03-30,129,11,8,77,6,3
29,29,2020-03-31,114,6,14,46,3,7
30,30,2020-04-01,149,22,21,75,10,12
31,31,2020-04-02,113,9,13,61,4,8
32,32,2020-04-03,196,22,11,106,11,6
33,33,2020-04-04,106,16,10,43,8,6
34,34,2020-04-05,181,14,7,83,6,4
35,35,2020-04-06,218,28,11,124,13,6
36,36,2020-04-07,247,12,12,109,6,5
37,37,2020-04-08,218,18,19,98,10,11
38,38,2020-04-09,337,30,40,199,13,20
39,39,2020-04-10,219,30,26,123,15,10
40,40,2020-04-11,330,4,21,152,2,11
41,41,2020-04-12,399,73,46,172,43,22
42,42,2020-04-13,316,21,26,180,12,15
43,43,2020-04-14,282,46,60,113,20,27
44,44,2020-04-15,297,20,10,146,9,6
45,45,2020-04-16,380,102,27,224,44,12
46,46,2020-04-17,407,59,24,240,25,13
47,47,2020-04-18,325,24,15,166,12,6
48,48,2020-04-19,327,55,47,160,23,28
49,49,2020-04-20,185,61,8,80,30,4
50,50,2020-04-21,375,95,26,206,57,14
51,51,2020-04-22,283,71,20,164,38,9
52,52,2020-04-23,357,47,11,214,28,6
53,53,2020-04-24,436,42,42,214,23,25
54,54,2020-04-25,396,40,31,214,23,19
55,55,2020-04-26,275,65,23,121,33,13
56,56,2020-04-27,214,44,22,126,21,13
57,57,2020-04-28,415,103,8,216,53,5
58,58,2020-04-29,260,137,11,133,69,5
59,59,2020-04-30,347,131,8,174,58,5
60,60,2020-05-01,433,69,8,195,28,4
61,61,2020-05-02,292,74,31,117,30,18
62,62,2020-05-03,349,211,14,171,93,7
63,63,2020-05-04,395,78,19,229,46,10
64,64,2020-05-05,484,243,8,281,134,4
65,65,2020-05-06,367,120,23,169,52,11
66,66,2020-05-07,338,64,35,186,26,17
67,67,2020-05-08,336,113,13,188,46,7
68,68,2020-05-09,533,113,16,267,49,8
69,69,2020-05-10,387,91,14,213,40,7
70,70,2020-05-11,233,183,18,110,90,8
71,71,2020-05-12,484,182,16,194,95,8
72,72,2020-05-13,689,224,21,345,110,11
73,73,2020-05-14,568,231,15,261,95,9
74,74,2020-05-15,490,285,33,245,120,15
75,75,2020-05-16,529,108,13,243,56,7
76,76,2020-05-17,489,218,59,293,98,28
