jml_lantai,ruangan,luas (m2),harga
2,2,40.5,235000
1,3,53,760000
10,1,28,320000
1,3,64,375000
9,2,47.8,450000
1,2,27.8,329000
0,3,73.22,655000
2,2,48,410000
2,3,59,660000
2,1,21,350000
2,1,21,350000
3,3,110,1080000
1,3,51.7,950000
0,3,54.03,1400000
1,2,61,940000
2,8,181,2790000
3,4,114,1700000
0,2,38,357000
5,1,24.6,375000
1,3,90,1499000
2,5,89.88,1499500
0,1,27,420000
2,4,120,2500000
0,1,27,420000
1,3,103.6,979000
2,2,77.73,1200000
2,3,114,1950000
2,3,70.9,1140000
0,1,31.47,325000
1,2,50.5,656000
1,2,49.96,419178.24
0,2,50,1750000
3,2,49.96,419178.24
3,2,71.3,1490000
1,4,100,1545000
3,3,78.49,839000
1,2,50,725000
2,2,69.33,730000
3,4,182,1819000
7,3,67.2,579000
3,4,79,839000
0,2,64,950000
3,5,103,1081500
3,2,68.59,950000
2,6,154.5,3246600
2,3,70,1540000
2,3,73,1540000
1,5,95.5,1150000
5,5,170,3000000
1,2,43,627000
1,2,42,627000
4,3,91,1133250
1,2,31.47,489000
2,3,80,880000
0,4,71.04,1200000
1,5,93,1100000
3,3,77,754600
3,3,77,754600
3,3,77,754600
3,3,77,754600
3,3,77,754000
3,3,77,754600
2,2,29.48,410000
1,3,141.4,1400000
2,1,14.81,290000
2,1,17.09,275000
2,1,18.42,295000
1,4,104.25,2050000
3,2,145.41,1300000
2,2,32.94,455000
0,3,80.3,1030000
3,1,23.3,275000
0,3,80.3,1015000
2,1,25.57,410000
2,1,14.03,280000
1,3,67.92,1150000
2,3,94,2256000
0,3,64,620000
4,2,28,439000
2,3,84,949000
2,3,58,799000
4,3,80,499000
2,2,64,659000
0,1,31,520000
2,3,70.8,495000
2,3,58,780000
3,3,74.51,2228000
2,2,62,1305000
1,2,35,510000
1,2,61,749000
2,3,57,780000
1,2,41.84,359000
1,1,26.05,185000
3,2,42,379000
1,1,41.5,572700
2,3,58,790000
1,2,28.06,196500
2,2,28,399000
0,3,54,1500000
0,2,39.71,449000
2,1,31,455000
3,2,43,379000
3,3,51.2,849000
1,4,100,1490000
0,5,141.5,1839500
0,1,25,319900
1,4,100,1680000
0,5,141.5,1839500
0,3,64.5,620000
2,3,98,1065000
0,2,30.5,349900
5,1,26,309000
1,4,113.78,989000
0,3,64.5,620000
0,1,29.95,898500
2,3,69,2070300
4,4,94,1200000
3,4,167,5000000
1,3,66,1716000
0,2,33,395000
2,3,63.2,870000
1,1,44.28,595000
1,4,114,980000
1,3,78.78,999999
1,3,78.78,1000000
3,2,36.38,665000
1,3,78.78,990000
4,4,79.38,750000
1,2,46.4,349000
1,3,91,1290000
2,2,62,869000
1,2,41,435000
3,2,77,1399000
1,2,32.66,499000
2,3,79.24,1331000
0,2,32,399000
3,2,77,1399000
3,2,77.8,1399900
1,3,91,1290000
1,3,91,1290000
1,3,91,1290000
1,3,91,1290000
2,2,47.27,171000
1,3,91,1290000
1,3,78.7,1000000
2,3,57,780000
5,5,79.1,677000
3,4,68,1250000
0,1,31,349000
4,3,73,339900
3,1,37.2,499000
3,2,45.82,720000
3,4,140,1350000
3,2,47.26,770000
4,3,88,1055000
4,2,82,845000
2,3,92.38,419900
2,1,36.94,499000
1,2,63,590000
0,2,54,685000
0,1,21.09,325000
1,2,40.02,294147
1,2,54.02,799900
0,1,35,349000
2,2,47.58,239900
4,3,60.49,259900
0,3,46.77,638000
2,2,52.94,469000
3,2,45,295000
0,1,24.3,380000
0,3,114,1800000
3,4,101,1390000
3,2,44.84,335000
0,3,72.07,540000
0,3,47,638000
4,2,41,779000
1,2,42.55,419000
4,2,66,931560
1,5,156.55,929900
1,2,52,380000
0,1,21.09,325000
4,3,110,2610850
0,3,74,650000
0,3,72,540000
1,2,47.5,399000
0,2,34.6,283800
3,1,24.18,380000
4,6,142.17,740000
4,4,140,2811950
0,1,18,297000
4,2,41,738000
3,2,40.6,399000
0,2,46.1,349000
1,2,40.47,649000
0,3,58.33,599000
2,2,39.05,285065
2,3,58,799000
1,2,32.12,570000
2,3,92.38,419900
4,1,34.52,314000
2,2,41,300000
1,6,223,4460000
3,1,37.6,499000
1,4,72.74,255900
3,4,137.5,1374862.5
4,1,31,369000
3,2,47,330000
1,3,74.76,450000
2,4,90,600000
5,3,93,990000
2,3,79,945000
1,3,67.85,435000
1,3,80.3,995000
4,3,114.6,550000
0,3,83,1700000
5,4,84,1699000
1,3,68,435000
2,4,158,1550000
3,4,62.15,1140000
3,2,73.67,419000
0,1,29,319000
1,4,60.49,449000
1,2,42,499000
1,2,34.47,445000
2,2,64,675000
2,2,35,535000
1,2,61.5,861000
